Order number;ETD Initial;ETD Updated;GTIN13;No BU;store number;Ordered Quantity;TEU;lat,long;no ship
19459;20/02/2023;20/02/2023;139708;7;Store 7;65;0.05509036144578313;;CMA3536
19459;20/02/2023;20/02/2023;139732;7;Store 7;44;0.24352409638554218;;CMA3536
19459;20/02/2023;20/02/2023;139330;7;Store 7;42;0.20240963855421684;;CMA3536
19459;20/02/2023;20/02/2023;139504;7;Store 7;71;0.30722891566265054;;CMA3536
19459;20/02/2023;20/02/2023;139568;7;Store 7;39;0.3951807228915662;;CMA3536
12880;20/01/2023;20/01/2023;139681;7;Store 7;35;0.05509036144578313;;CMA3533
12880;20/01/2023;20/01/2023;139531;7;Store 7;96;0.19924698795180723;;CMA3533
12880;20/01/2023;20/01/2023;139404;7;Store 7;53;0.15180722891566265;;CMA3533
12880;20/01/2023;20/01/2023;139930;7;Store 7;52;0.30722891566265054;;CMA3533
12880;20/01/2023;20/01/2023;139806;7;Store 7;28;0.4612048192771084;;CMA3533
12880;20/01/2023;20/01/2023;139301;7;Store 7;70;0.316144578313253;;CMA3533
11794;01/05/2023;01/05/2023;139775;7;Store 7;79;1.0773493975903614;;CMA3532
11794;01/05/2023;01/05/2023;139308;7;Store 7;55;0.3204819277108434;;CMA3532
11794;01/05/2023;01/05/2023;139862;7;Store 7;51;2.424036144578313;;CMA3532
11794;01/05/2023;01/05/2023;139916;7;Store 7;45;0.08012048192771085;;CMA3532
12431;24/02/2023;24/02/2023;139402;7;Store 7;61;0.3621686746987951;;CMA3534
12431;24/02/2023;24/02/2023;139751;7;Store 7;52;0.09626506024096385;;CMA3534
12431;24/02/2023;24/02/2023;139724;7;Store 7;26;0.5024096385542168;;CMA3534
12431;24/02/2023;24/02/2023;139316;7;Store 7;73;0.15469879518072288;;CMA3534
12431;24/02/2023;24/02/2023;139451;7;Store 7;81;0.14204819277108433;;CMA3534
12431;24/02/2023;24/02/2023;139360;7;Store 7;41;0.10259036144578312;;CMA3534
12431;24/02/2023;24/02/2023;139750;7;Store 7;63;0.5361144578313253;;CMA3534
12431;24/02/2023;24/02/2023;139505;7;Store 7;12;0.1147590361445783;;CMA3534
17400;24/03/2023;24/03/2023;139419;7;Store 7;65;9.408192771084336;;CMA3535
