GTIN13;BU;Project Code;Commited Qty
139420;Store 12;Project 2022_03;4000
139496;Store 15;Project 2022_03;2500
139412;Store 4;Project 2022_01;12760
139554;Store 1;Project 2023_01;4000
139560;Store 3;Project 2023_02;6000
139372;Store 5;Project 2023_03;4000
139583;Store 16;Project 2022_03;4300
139402;Store 7;Project 2024_01;4000
139457;Store 5;Project 2022_03;33000
139441;Store 14;Project 2024_01;5500
139643;Store 15;Project 2024_02;35000
139599;Store 3;Project 2023_03;25000
139569;Store 5;Project 2022_03;20000
139335;Store 13;Project 2023_01;21000
139396;Store 3;Project 2022_02;17000
139514;Store 8;Project 2022_02;20000
139642;Store 4;Project 2023_01;12000
139396;Store 9;Project 2022_03;6500
139432;Store 4;Project 2024_02;4000
139390;Store 6;Project 2022_02;4300
139398;Store 1;Project 2024_02;5500
139518;Store 12;Project 2024_02;15000
139345;Store 10;Project 2023_01;268708
139387;Store 16;Project 2022_01;67483
139590;Store 2;Project 2024_03;115702
139310;Store 14;Project 2023_03;177686
139527;Store 1;Project 2024_01;61983
139536;Store 3;Project 2022_01;173553
139588;Store 2;Project 2023_02;12397
139593;Store 8;Project 2022_03;86034
139342;Store 6;Project 2022_01;240539
139444;Store 14;Project 2023_01;79719
139562;Store 7;Project 2023_01;172174
139323;Store 14;Project 2024_02;1407
139375;Store 16;Project 2023_01;19103
139336;Store 9;Project 2024_01;66329
139400;Store 13;Project 2024_03;140109
139575;Store 6;Project 2023_01;9500
139456;Store 13;Project 2022_01;6000
139357;Store 14;Project 2022_01;3500
139322;Store 13;Project 2022_01;3500
139431;Store 9;Project 2023_01;3000
139515;Store 15;Project 2024_02;4000
139374;Store 12;Project 2024_03;3500
139372;Store 7;Project 2022_01;5000
139474;Store 10;Project 2023_01;3000
139444;Store 10;Project 2024_02;2000
139522;Store 4;Project 2024_03;3800
139570;Store 13;Project 2022_01;450
139399;Store 3;Project 2022_03;450
139577;Store 2;Project 2024_02;800
139390;Store 5;Project 2022_03;6000
139507;Store 4;Project 2024_02;6500
139551;Store 13;Project 2024_02;200000
139606;Store 7;Project 2024_01;80000
139452;Store 10;Project 2024_02;15500
139301;Store 13;Project 2022_02;65000
139393;Store 6;Project 2022_03;65000
139312;Store 16;Project 2023_01;80000
139605;Store 4;Project 2023_03;35000
139410;Store 2;Project 2022_03;15000
139522;Store 15;Project 2024_02;5000
139523;Store 3;Project 2024_01;14850
139568;Store 14;Project 2024_03;16092
139579;Store 6;Project 2022_01;14178
139561;Store 5;Project 2022_03;11600
139521;Store 16;Project 2022_02;12600
139476;Store 11;Project 2023_02;4400
139595;Store 15;Project 2022_03;20000
139621;Store 13;Project 2022_02;21791
139596;Store 12;Project 2022_01;6921
139459;Store 7;Project 2022_01;9228
139627;Store 6;Project 2023_02;35000
139302;Store 11;Project 2022_01;180000
139434;Store 9;Project 2023_02;17519
139390;Store 16;Project 2024_01;6000
139377;Store 5;Project 2024_02;8000
139409;Store 15;Project 2022_02;8000
139448;Store 9;Project 2022_03;4200
139534;Store 3;Project 2023_02;9500
139350;Store 1;Project 2024_01;12500
139501;Store 8;Project 2024_03;4000
139550;Store 14;Project 2022_02;1000
139443;Store 11;Project 2023_02;3600
139364;Store 13;Project 2023_01;10000
139634;Store 8;Project 2024_03;5000
139565;Store 14;Project 2023_03;3000
139595;Store 16;Project 2024_01;24000
139405;Store 3;Project 2024_01;12000
139640;Store 10;Project 2022_02;7000
139551;Store 9;Project 2024_02;8500
139442;Store 11;Project 2023_01;14000
139453;Store 4;Project 2023_03;3900
139318;Store 4;Project 2024_03;50000
139374;Store 6;Project 2022_03;45000
139551;Store 15;Project 2023_03;40000
139396;Store 8;Project 2022_03;30000
139598;Store 8;Project 2024_01;15000
139578;Store 11;Project 2022_02;30000
139374;Store 15;Project 2022_01;25000
139321;Store 14;Project 2023_03;40000
139590;Store 7;Project 2023_02;20000
139355;Store 14;Project 2024_02;30000
139567;Store 4;Project 2023_02;20000
139636;Store 2;Project 2023_03;25000
139544;Store 16;Project 2023_03;15000
139383;Store 12;Project 2023_01;45000
139422;Store 8;Project 2023_03;25000
139446;Store 12;Project 2022_02;35000
139599;Store 11;Project 2022_02;30000
139569;Store 1;Project 2023_03;50000
139521;Store 1;Project 2022_03;20000
139581;Store 8;Project 2022_02;25000
139401;Store 14;Project 2024_01;100000
139541;Store 12;Project 2022_02;3500
139583;Store 4;Project 2024_01;3000
139600;Store 12;Project 2022_03;8000
139484;Store 14;Project 2023_01;9000
139302;Store 6;Project 2024_03;3000
139430;Store 6;Project 2023_02;4000
139559;Store 14;Project 2024_01;10000
139634;Store 1;Project 2022_01;4000
139537;Store 4;Project 2024_03;6000
139542;Store 11;Project 2023_01;10000
139614;Store 14;Project 2022_03;25000
139345;Store 8;Project 2022_02;10000
139303;Store 1;Project 2023_01;4000
139450;Store 16;Project 2023_02;10000
139581;Store 9;Project 2022_02;10000
139445;Store 11;Project 2024_01;3000
139460;Store 10;Project 2024_01;20200
139544;Store 1;Project 2022_03;26500
139636;Store 2;Project 2022_03;11000
139345;Store 11;Project 2023_03;13500
139438;Store 14;Project 2023_01;8300
139586;Store 5;Project 2024_02;7300
139399;Store 10;Project 2023_02;3600
139364;Store 1;Project 2024_03;21900
139308;Store 16;Project 2022_03;2400
139422;Store 12;Project 2022_01;1400
139362;Store 16;Project 2023_01;4500
