DATE;GTIN 13;Store;Sales;;
24/05/2022;139555;Store 12;48;;
24/05/2022;139853;Store 14;12;;
24/05/2022;139553;Store 8;21;;
24/05/2022;139604;Store 8;137;;
24/05/2022;139671;Store 5;57;;
24/05/2022;139536;Store 8;139;;
24/05/2022;139892;Store 13;48;;
24/05/2022;139556;Store 1;86;;
24/05/2022;139916;Store 6;112;;
24/05/2022;139681;Store 1;48;;
24/05/2022;139605;Store 13;19;;
24/05/2022;139796;Store 7;33;;
24/05/2022;139450;Store 10;158;;
24/05/2022;139546;Store 12;95;;
24/05/2022;139435;Store 12;1028;;
24/05/2022;139777;Store 8;1;;
24/05/2022;139775;Store 4;58;;
24/05/2022;139486;Store 3;53;;
24/05/2022;139450;Store 15;27;;
24/05/2022;139892;Store 4;29;;
24/05/2022;139799;Store 12;169;;
24/05/2022;139602;Store 3;17;;
24/05/2022;139941;Store 9;8;;
24/05/2022;139738;Store 4;152;;
24/05/2022;139467;Store 15;12;;
24/05/2022;139735;Store 9;43;;
24/05/2022;139877;Store 8;12;;
24/05/2022;139512;Store 2;181;;
24/05/2022;139547;Store 14;3;;
24/05/2022;139785;Store 4;17;;
24/05/2022;139703;Store 12;119;;
24/05/2022;139516;Store 1;574;;
24/05/2022;139664;Store 2;369;;
24/05/2022;139442;Store 14;35;;
24/05/2022;139858;Store 15;22;;
25/05/2022;139417;Store 2;128;;
25/05/2022;139467;Store 8;65;;
25/05/2022;139702;Store 10;147;;
25/05/2022;139697;Store 1;43;;
25/05/2022;139713;Store 5;219;;
25/05/2022;139846;Store 7;332;;
25/05/2022;139463;Store 10;153;;
25/05/2022;139530;Store 12;129;;
25/05/2022;139519;Store 1;1;;
25/05/2022;139837;Store 4;19;;
25/05/2022;139725;Store 11;7;;
25/05/2022;139768;Store 4;378;;
25/05/2022;139659;Store 6;99;;
25/05/2022;139475;Store 5;21;;
25/05/2022;139439;Store 13;31;;
25/05/2022;139942;Store 3;10;;
25/05/2022;139524;Store 4;20;;
25/05/2022;139632;Store 15;171;;
25/05/2022;139825;Store 14;173;;
25/05/2022;139466;Store 7;59;;
25/05/2022;139530;Store 12;36;;
25/05/2022;139896;Store 14;3;;
25/05/2022;139799;Store 15;44;;
25/05/2022;139625;Store 13;57;;
25/05/2022;139441;Store 2;147;;
25/05/2022;139686;Store 3;5;;
25/05/2022;139690;Store 8;4;;
25/05/2022;139882;Store 4;24;;
25/05/2022;139454;Store 8;43;;
25/05/2022;139406;Store 2;37;;
25/05/2022;139726;Store 11;204;;
25/05/2022;139455;Store 14;37;;
25/05/2022;139800;Store 13;51;;
25/05/2022;139576;Store 3;55;;
25/05/2022;139808;Store 14;132;;
25/05/2022;139567;Store 4;231;;
